고유번호,구명,정원수,위도,경도
426,전주시 덕진구,46,35.84344779,127.1120702
427,전주시 덕진구,49,35.84178105,127.0555384
428,전주시 덕진구,73,35.83851127,127.0746896
429,전주시 덕진구,73,35.87454355,127.1352299
430,전주시 덕진구,82,35.87207631,127.1322083
431,전주시 덕진구,97,35.87440204,127.1298461
432,전주시 덕진구,92,35.84818484,127.0797107
433,전주시 덕진구,71,35.87801123,127.1331095
434,전주시 덕진구,19,35.86931383,127.1244985
435,전주시 덕진구,19,35.86619968,127.1194816
436,전주시 덕진구,19,35.83994842,127.1548923
437,전주시 덕진구,16,35.82850789,127.1652203
438,전주시 덕진구,20,37.36539093,126.9646147
439,전주시 덕진구,13,35.85528311,127.1533395
440,전주시 덕진구,19,35.86931383,127.1244985
441,전주시 덕진구,13,35.87255633,127.0708942
442,전주시 덕진구,13,35.87188208,127.0817094
443,전주시 덕진구,13,35.86931383,127.1244985
444,전주시 덕진구,13,35.86931383,127.1244985
445,전주시 덕진구,13,35.84058954,127.1673486
446,전주시 덕진구,10,35.86841198,127.0746562
447,전주시 덕진구,14,35.84854514,127.1501317
448,전주시 덕진구,19,35.86790491,127.0771191
449,전주시 덕진구,18,35.86221293,127.1496314
450,전주시 덕진구,17,35.87272437,127.0684823
451,전주시 덕진구,20,35.85735698,127.154401
452,전주시 덕진구,20,35.86591628,127.1177993
453,전주시 덕진구,19,35.86931383,127.1244985
454,전주시 덕진구,13,35.86500788,127.1266799
455,전주시 덕진구,13,35.82858746,127.164768
456,전주시 덕진구,19,35.83004846,127.1684262
457,전주시 덕진구,13,35.82858746,127.164768
458,전주시 덕진구,19,35.85942009,127.1521699
459,전주시 덕진구,19,35.86515489,127.1353493
460,전주시 덕진구,19,35.8682208,127.1283436
461,전주시 덕진구,20,35.86477149,127.1317063
462,전주시 덕진구,13,37.6630354,127.2480653
463,전주시 덕진구,20,35.86221293,127.1496314
464,전주시 덕진구,19,35.86251929,127.1288431
465,전주시 덕진구,20,35.84412192,127.1645497
466,전주시 덕진구,13,35.82450963,127.1687272
467,전주시 덕진구,20,35.86251929,127.1288431
468,전주시 덕진구,18,35.86228776,127.1261232
469,전주시 덕진구,13,35.82850789,127.1652203
470,전주시 덕진구,19,35.8682208,127.1283436
471,전주시 덕진구,19,35.86593317,127.1181287
472,전주시 덕진구,19,37.36539093,126.9646147
473,전주시 덕진구,19,35.82971516,127.1357465
474,전주시 덕진구,20,35.86082455,127.1133982
475,전주시 덕진구,17,35.86350527,127.1122206
476,전주시 덕진구,19,35.84170707,126.9421974
477,전주시 덕진구,19,35.83363228,127.1651422
