,학교명,주소,위도,경도
278,,전라북도 전주시 덕진구 견훤로 333,35.83994842,127.1548923
279,,전라북도 전주시 덕진구 송천동1가 가리내로 550,35.86082455,127.1133982
280,,전라북도 전주시 덕진구 호반로 11,35.85400329,127.1167207
281,,전라북도 전주시 덕진구 솔내로 124,35.86127244,127.1277148
282,,전라북도 전주시 덕진구 인후동1가 견훤로 333,35.83994842,127.1548923
283,,전라북도 전주시 덕진구 솔내로 142,35.86251929,127.1288431
284,,전라북도 전주시 덕진구 아중로 176,35.82673115,127.1686571
285,,전라북도 전주시 덕진구 쪽구름5길 5,35.87647306,127.0777726
286,,전라북도 전주시 덕진구 송천로 31,35.85596687,127.1181839
287,,전라북도 전주시 덕진구 안덕원1길 30,35.84063236,127.1650645
288,,전라북도 전주시 덕진구 견훤로 333,35.83994842,127.1548923
289,,전라북도 전주시 덕진구 호성동1가 호성로 136,35.86434943,127.1475255
290,,전라북도 전주시 덕진구 아중로 176,35.82673115,127.1686571
291,,전라북도 전주시 덕진구 벚꽃로 57,35.82971516,127.1357465
292,,전라북도 전주시 덕진구 송천동2가 붓내3길 29,35.86931383,127.1244985
293,,전라북도 전주시 덕진구 사근1길 11,35.8682208,127.1283436
294,,전라북도 전주시 덕진구 석소로 55,35.83271067,127.1653216
295,,전라북도 전주시 덕진구 와룡2길 14,35.86677258,127.1126999
296,,전라북도 전주시 덕진구 견훤로 333,35.83994842,127.1548923
297,,전라북도 전주시 덕진구 소리로 179,35.85803894,127.1500749
298,,전라북도 전주시 덕진구 석소로 55,35.83271067,127.1653216
299,,전라북도 전주시 덕진구 사근1길 11,35.8682208,127.1283436
300,,전라북도 전주시 덕진구 진버들3길 10,35.83528993,127.162982
301,,전라북도 전주시 덕진구 쪽구름로 13,35.86705277,127.0786489
302,,전라북도 전주시 덕진구 호성동2가 호성로 170,35.86629341,127.1456216
303,,전라북도 전주시 덕진구 팽나무2길 7,35.83505235,127.1524142
304,,전라북도 전주시 덕진구 쪽구름로 13,35.86705277,127.0786489
305,,전라북도 전주시 덕진구 사근1길 11,35.8682208,127.1283436
306,,전라북도 전주시 덕진구 석소로 27,35.8297226,127.1689167
307,,전라북도 전주시 덕진구 벚꽃로 57,35.82971516,127.1357465
308,,전라북도 전주시 덕진구 천마산로 100,35.86477149,127.1317063
309,,전라북도 전주시 덕진구 천마산로 100,35.86477149,127.1317063
310,,전라북도 전주시 덕진구 붓내3길 29,35.86931383,127.1244985
311,,전라북도 전주시 덕진구 천마산로 100,35.86477149,127.1317063
312,,전라북도 전주시 덕진구 붓내3길 29,35.86931383,127.1244985
313,,전라북도 전주시 덕진구 석소로 55,35.83271067,127.1653216
314,,전라북도 전주시 덕진구 추천1길 6,35.84864087,127.1058686
315,,전라북도 전주시 덕진구 호성2길 16,35.85942009,127.1521699
316,,전라북도 전주시 덕진구 안덕원로 251,35.83772385,127.1537674
317,,전라북도 전주시 덕진구 진버들3길 8-3,35.83501909,127.1622632
318,,전라북도 전주시 덕진구 송천동1가 송천로 43,35.85695737,127.1183379
319,,전라북도 전주시 덕진구 안덕원로 251,35.83772385,127.1537674
320,,전라북도 전주시 덕진구 진버들3길 8-3,35.83501909,127.1622632
321,,전라북도 전주시 덕진구 소리로 179,35.85803894,127.1500749
322,,전라북도 전주시 덕진구 진북로 15,35.82591277,127.1337999
323,,전라북도 전주시 덕진구 호성로 170,35.86629341,127.1456216
